Observation GUID	Påträffad	Taxon ID	Vetenskapligt namn	Svenskt namn	Taxonkategori	Organismgrupp	Rödlistekategori	Observationens skyddsklass	Startdatum	Slutdatum	Starttid	Sluttid	WGS84 decimal (lat)	WGS84 decimal (lon)	SWEREF99TM X (öst)	SWEREF99TM Y (nord)	Geodetiskt datum	Koordinatnoggrannhet (m)	Lokal	Församling	Kommun	Län	Landskap	Observatör	Antal individer	Organismkvantitet	Organismkvantitetsenhet	Stadium/ålder	Kön	Aktivitet (Artportalen)	Verifieringsstatus	Osäker artbestämning	Aldrig funnen	Ej återfunnen	Projekt1 Namn	Dataset namn	Diffuserad	Skyddad
urn:lsid:artportalen.se:sighting:54526289	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-07-23	2015-07-23	14:25	14:25	66.21431	21.929	811329	7361051	EPSG:4326	500	Hattberget O Norriån, Nb	Råneå	Boden	Norrbotten	Norrbotten	Mats Bergquist	1	1		imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:53817729	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-06-05	2015-06-05			59.83849	17.63329	647569	6636357	EPSG:4326	100	V om Grindstugan, Upl	Uppsala	Uppsala	Uppsala	Uppland	Owe Rosengren	5	5		imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:53864988	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-06-02	2015-06-02			57.04143	15.36967	522432	6322058	EPSG:4326	100	Karlslund, Sm	Lenhovda	Uppvidinge	Kronoberg	Småland	Bo Karlsson	2	2	ex.	imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:53891538	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-06-11	2015-06-11			59.02101	15.7498	543051	6542633	EPSG:4326	200	Oppeberga SO Högsjön Äng 1, Srm	Västra Vingåker	Vingåker	Södermanland	Södermanland	Lennart Hellquist	2	2		imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:54397215	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-07-14	2015-07-14	10:30	12:00	67.97766	21.90274	788343	7556501	EPSG:4326	100	Sattajärvi Toulpukka - korset, T lm	Jukkasjärvi	Kiruna	Norrbotten	Torne lappmark	Richard Ek, Jesper Segergren	2	2		imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:53990566	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-06-19	2015-06-19	09:10	09:50	60.52083	15.46663	525617	6709508	EPSG:4326	2500	Igeltjärnsvägen, Hönsarvsberget, Dlr	Borlänge	Borlänge	Dalarna	Dalarna	Håkan Sandin	1	1				födosökande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:54656776	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-07-23	2015-07-23	15:30	18:00	56.58688	16.41786	587081	6272301	EPSG:4326	50	Beijershamn, ängsmark öst, Beijershamn, Öl	Vickleby	Mörbylånga	Kalmar	Öland	Björn Larsson, Jenny Wendel	2	2		imago/adult	i par	parning/parningsceremonier	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:53892526	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-06-11	2015-06-11			59.27974	15.25966	514797	6571230	EPSG:4326	400	Naturens hus, Nrk	Örebro	Örebro	Örebro	Närke	Joakim Johansson	2	2		imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:54157121	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-07-02	2015-07-02			56.04075	13.07236	379912	6212291	EPSG:4326	100	Stubbarödsgården, Sk	Stenestad	Svalöv	Skåne	Skåne	Thomas Arnström	1	1		imago/adult		födosökande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:53128153	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2014-04-21	2014-04-21			59.43909	17.92128	665658	6592584	EPSG:4326	100	581m ESE, Bögs gård, Järvafältet, Upl	Sollentuna	Sollentuna	Stockholm	Uppland	Björn Anderson	1	1					Ovaliderad	False	False	False		Artportalen	False	False
