Observation GUID	Påträffad	Taxon ID	Vetenskapligt namn	Svenskt namn	Taxonkategori	Organismgrupp	Rödlistekategori	Observationens skyddsklass	Startdatum	Slutdatum	Starttid	Sluttid	WGS84 decimal (lat)	WGS84 decimal (lon)	SWEREF99TM X (öst)	SWEREF99TM Y (nord)	Geodetiskt datum	Koordinatnoggrannhet (m)	Lokal	Församling	Kommun	Län	Landskap	Observatör	Antal individer	Organismkvantitet	Organismkvantitetsenhet	Stadium/ålder	Kön	Aktivitet (Artportalen)	Verifieringsstatus	Osäker artbestämning	Aldrig funnen	Ej återfunnen	Projekt1 Namn	Dataset namn	Diffuserad	Skyddad
urn:lsid:artportalen.se:sighting:97827418	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2021-07-20	2021-07-20			56.48941	16.52271	593760	6261591	EPSG:4326	250	Gösslunda, Öl	Hulterstad	Mörbylånga	Kalmar	Öland	Roine Strandberg				imago/adult			Ovaliderad	False	False	False	Biogeografisk uppföljning av fjärilar	Artportalen	False	False
urn:lsid:artportalen.se:sighting:99563121	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2019-08-04	2019-08-04			59.98718	17.94693	664400	6653646	EPSG:4326	500	Toms vända, Upl	Stavby	Uppsala	Uppsala	Uppland	Camilla Winqvist, Thomas Ranius	1	1				friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:87661201	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2020-07-11	2020-07-11			56.61171	14.19376	450514	6274455	EPSG:4326	250	Djäknabygd Dagfjärilar, Sm	Stenbrohult	Älmhult	Kronoberg	Småland	Sven G Nilsson	1	1	ex.	imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:87661633	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2020-07-17	2020-07-17	10:30	14:15	56.61171	14.19376	450514	6274455	EPSG:4326	250	Djäknabygd Dagfjärilar, Sm	Stenbrohult	Älmhult	Kronoberg	Småland	Sven G Nilsson	1	1	ex.	imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:87651614	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2020-08-25	2020-08-25	12:40	12:40	59.31465	18.10276	676590	6579202	EPSG:4326	5	Fåfängan, Södermalm, Stockholm., Srm	Stockholm	Stockholm	Stockholm	Södermanland	Ola Sångberg, Johan Skutin	1	1		imago/adult	hona	friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:87679343	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2020-07-27	2020-07-27			55.92887	14.03263	439557	6198585	EPSG:4326	250	Hommentorp - transekter, Sk	Östra Vram	Kristianstad	Skåne	Skåne	Roine Strandberg	1	1		imago/adult			Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:87476177	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2020-08-14	2020-08-14			59.70103	16.52423	585779	6619101	EPSG:4326	44	Bergbo 1, Vstm	Romfartuna	Västerås	Västmanland	Västmanland	Markus Rehnberg	1	1	ex.	larv/nymf		födosökande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:88060231	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2020-09-18	2020-09-18	11:00	15:30	57.63201	11.90682	315331	6391954	EPSG:4326	100	Grillplatsen Torstensås, Välen, Göteborg, Vg	Göteborg	Göteborg	Västra Götaland	Västergötland	Hans Börjesson	2	2		imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:88099180	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2020-07-17	2020-07-17			55.73414	13.18594	386092	6177981	EPSG:4326	10	Fredentorps begravningsplats., Sk	Vallkärra	Lund	Skåne	Skåne	Charlotte Wigermo, Åke Svensson							Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:87456412	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2020-08-14	2020-08-14			57.79568	11.74494	306546	6410615	EPSG:4326	150	Lilla Överön, västra delen, Lilla Överön, Boh	Torsby	Kungälv	Västra Götaland	Bohuslän	Bo Brinkhoff	4	4		imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:87941695	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2020-09-10	2020-09-10			57.86703	11.92807	317786	6418045	EPSG:4326	100	Ytterby  Tunge, Boh	Ytterby	Kungälv	Västra Götaland	Bohuslän	Göran Persson	1	1		imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:87739988	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2020-08-30	2020-08-30			58.58165	16.33861	577834	6494246	EPSG:4326	430	Betebyinfarten, Dagsbergs kyrka, Ög	Furingstad	Norrköping	Östergötland	Östergötland	Mats Hjelte, Lars Johansson	10	10		imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
